H0,GW170817_NGC4993,GW170817_ESO508-24,GW190425_FRB20190425A,S240422ed_Mag24a
20.0,5.012309927530439e-53,4.7871450297830735e-91,0.0,1.2479748539678557e-06
21.21212121212121,1.6527600887720592e-45,7.254088613275953e-79,0.0,6.528222625505875e-06
22.424242424242426,2.6305230352654696e-39,9.301578876955406e-69,6.911154928540812e-10,2.440596209912873e-05
23.636363636363637,3.8089720963044036e-34,2.7117622502318246e-60,1.117475753779277e-08,7.05926413811675e-05
24.848484848484848,8.104893429204682e-30,3.7959622153865763e-53,1.121654977613293e-07,0.00016718795002444056
26.060606060606062,3.6588671811435455e-26,4.531184759842779e-47,7.673336307061837e-07,0.0003382861121151348
27.272727272727273,4.663524238983603e-23,7.207886295393911e-42,3.845786991367608e-06,0.0006040658028050235
28.484848484848484,2.098776962055967e-20,2.170861013869411e-37,1.4942265268743363e-05,0.0009760871756979357
29.696969696969695,3.984845768485503e-18,1.6368339953421252e-33,4.7063792502344626e-05,0.0014554133912726597
30.90909090909091,3.6794474853625346e-16,3.864704524499784e-30,0.00012451963043224172,0.00203352951921904
32.121212121212125,1.8540148707173883e-14,3.428957833784428e-27,0.00028482283105659193,0.0026950414956206036
33.333333333333336,5.600062907238191e-13,1.3237571867096772e-24,0.0005764870200134786,0.003420859651015433
34.54545454545455,1.0937257092118767e-11,2.5135300787327725e-22,0.0010522450674506781,0.004191070530279871
35.75757575757576,1.4727325434390533e-10,2.5945977565688672e-20,0.0017593628487129242,0.004986955399044694
36.96969696969697,1.440805303521183e-09,1.5842342093749944e-18,0.0027298327861555245,0.005792194886236049
38.18181818181819,1.06979635607583e-08,6.139226860160471e-17,0.0039732431661809045,0.0065933274807236765
39.39393939393939,6.26179138835063e-08,1.6007004277277198e-15,0.00547326976051583,0.007379773362077297
40.60606060606061,2.9776472477651976e-07,2.9561061726656024e-14,0.00719117157937587,0.008143496408337631
41.81818181818182,1.1820270869181001e-06,4.0281220706572765e-13,0.009068239414791027,0.008878618583781715
43.03030303030303,4.007746644517768e-06,4.209766969469015e-12,0.011036061502068659,0.009580924781518098
44.24242424242424,1.1811598254374557e-05,3.4755114496108954e-11,0.013022331803038504,0.01024749795638479
45.45454545454545,3.0845908406609246e-05,2.332224781118087e-10,0.014958044869236437,0.010876358097670959
46.66666666666667,7.227841337167967e-05,1.2996284069018254e-09,0.01678070150545964,0.011466167576704149
47.878787878787875,0.0001539015360295081,6.15144681709942e-09,0.018441777827135544,0.012016073072125927
49.09090909090909,0.0003014341392186775,2.5117982311899645e-08,0.019903654841776742,0.012525546484738177
50.303030303030305,0.0005473545579219436,9.001407522885854e-08,0.021141663953366703,0.012994264876303554
51.515151515151516,0.0009281630082932077,2.869358846654106e-07,0.022145706186926562,0.013422099095794914
52.72727272727273,0.001483863085468328,8.218910256337327e-07,0.022913533399377607,0.013809051380089827
53.93939393939394,0.002250736986920251,2.1424346868588523e-06,0.023452257322726735,0.014155241028792334
55.151515151515156,0.0032499149380274205,5.1276023442819034e-06,0.023776141224822276,0.014460929435220553
56.36363636363637,0.004493466352857822,1.1338617348240617e-05,0.023899724924173853,0.014726460873957153
57.57575757575758,0.0059819835278295055,2.3390600255552252e-05,0.02384286579990562,0.014952344757273119
58.78787878787879,0.0076973860317362,4.5308946554888236e-05,0.023631995036089926,0.015139206516549314
60.0,0.009600552499374566,8.275748937554156e-05,0.023285409323921688,0.015287806663599144
61.21212121212121,0.011613636022808758,0.0001433828093402411,0.022824456075216958,0.01539904615869736
62.42424242424242,0.013703189134267563,0.0002369513247668429,0.022276114426483203,0.015473961072101559
63.63636363636364,0.01580974365297756,0.00037507297031862623,0.021644072698330692,0.015513719355238448
64.84848484848484,0.01787433468978866,0.0005697784253212979,0.0209605167654378,0.015519622844062176
66.06060606060606,0.019842257134863355,0.0008339530893759321,0.020232610549263504,0.015493073291287095
67.27272727272728,0.021609496053184688,0.0011810803224804735,0.019478281137846647,0.015435597086993323
68.48484848484848,0.023155140123675283,0.0016230421771075605,0.018704769723960145,0.01534878336911843
69.69696969696969,0.024475566973275794,0.0021696289419651862,0.017925444186076504,0.015234320937200577
70.9090909090909,0.025554230070580018,0.0028218617471615433,0.017142912104368083,0.015093955007118711
72.12121212121212,0.02638432606401323,0.0035836058020631335,0.016372628435109202,0.014929467647548315
73.33333333333334,0.02696764211919774,0.0044544773203644885,0.01560967885843504,0.014742685416037769
74.54545454545455,0.027312302724681832,0.005428863551986164,0.014870179264882493,0.014535439639520096
75.75757575757575,0.027356738919487016,0.00649749170728837,0.014145115170993873,0.014309559043418175
76.96969696969697,0.027178093231690882,0.007647014410769506,0.013445540369119538,0.014066869087417519
78.18181818181819,0.026816021325585998,0.00883777066071816,0.012773075917308467,0.013809163547667036
79.3939393939394,0.02629508801059558,0.010069040294178527,0.01212164039932519,0.01353819198695043
80.60606060606061,0.02564005923014967,0.011321868200931513,0.011501539749357375,0.013255665056917306
81.81818181818181,0.024875058430776115,0.012576555643994814,0.010908226477277523,0.012963235401965905
83.03030303030303,0.0240229354389231,0.013814334606341159,0.010340055655369605,0.012662484179862401
84.24242424242425,0.023104825127521628,0.015017218302918803,0.009802316445448999,0.012354924240908937
85.45454545454545,0.02213270868458513,0.016169032678318516,0.009290116964301244,0.012041994321427019
86.66666666666667,0.021053946420288773,0.017206077650024187,0.008800200475309392,0.011725051864952131
87.87878787878788,0.019961524058020298,0.018157074919863677,0.008338254343889883,0.011405365840006192
89.0909090909091,0.018873577862066365,0.019014424240391778,0.007902762453623926,0.011084123433490835
